"Gene_ID","Gene_Symbol","SRR9943833","SRR9943834","SRR9943835","SRR9943836","SRR9943837","SRR9943838","SRR28475464","SRR28475465","SRR28475466","SRR28475467","SRR28475468","SRR28475469"
"ENSOMYG00000000043","RHOB",40.847717,44.010151,51.697124,53.001694,32.742809,89.265648,89.993233,95.768188,152.44841,81.983078,66.68528,64.641289
"ENSOMYG00000000045","",0.757935,0.510265,1.339049,0.517987,1.266984,0.229841,0,0,0.114603,0,0,0
"ENSOMYG00000000046","",1.173333,1.385333,1.8,3.118667,0,0,1.464,0.653333,1.02,4.212,2.816,2.146667
"ENSOMYG00000000049","rcn2",93.641487,58.578243,81.350479,81.865486,128.946945,106.961418,89.80011,81.169884,107.033226,59.706326,62.075027,73.418007
"ENSOMYG00000000050","NAIF1",5.10479,4.50499,2.57984,7.487026,7.283433,4.677645,4.969062,3.125748,5.16467,0.825349,0.515968,1.37026
"ENSOMYG00000000053","",4.626881,6.332465,5.862847,8.365162,5.516204,7.124277,2.620081,2.470197,2.266059,1.676215,0.709635,2.075232
"ENSOMYG00000000068","",1.643575,0.685774,1.781285,1.139022,0.202336,1.939801,0.153639,0,0.354897,0.026954,0,0.28859
"ENSOMYG00000000074","mier2",6.915608,13.142166,16.19026,21.234119,12.443133,15.983363,3.618875,3.821537,6.578948,1.803388,2.675741,2.351482
"ENSOMYG00000000075","",23.828613,1.645901,1.312383,10.393546,37.238205,2.57406,3.996972,46.192989,12.200123,0.045411,14.248576,10.298203
"ENSOMYG00000000082","RSBN1L",4.389582,8.039069,6.738986,10.840676,9.399418,13.521336,2.831809,2.778332,4.48379,3.400111,2.950402,1.981463
"ENSOMYG00000000083","",7.530644,9.59008,9.384834,6.724202,6.760405,7.305872,2.67959,2.485747,3.402224,1.821836,1.626283,2.462372
"ENSOMYG00000000087","PSTPIP1",19.085531,20.689449,17.511591,29.339727,12.693845,28.896482,15.881295,13.877298,18.159872,7.798561,6.319345,5.977618
"ENSOMYG00000000088","safb",0.508894,0.786472,0.621586,0.453433,0.63027,0.429808,0,0.079343,0.155349,0.06816,0,0.112475
"ENSOMYG00000000092","",2.161296,2.689804,1.922104,3.318918,2.165816,3.705246,1.728916,1.460228,2.237875,0.736645,2.713123,0.563283
"ENSOMYG00000000093","",79.548271,73.423935,73.074944,75.110741,81.981544,83.168068,100.688477,101.688202,127.829697,85.492172,84.781601,73.438759
"ENSOMYG00000000100","TMEM60",2.89418,8.624338,6.441799,8.256614,6.851852,4.584656,0,2.354497,1.206349,4.664021,2.685185,3.26455
"ENSOMYG00000000101","",2.641353,9.523391,4.649829,7.390057,6.813033,8.870298,2.469536,2.912387,2.34048,0.892955,2.185635,0
"ENSOMYG00000000105","SENP6",11.342727,18.63987,12.118464,0.0529,0,37.733109,0,23.143179,30.115175,4.774813,5.284046,0
"ENSOMYG00000000107","tmod4",0.073951,0.385538,0.205262,0,0,0,0,0.13186,0,1.791087,0.844664,0
"ENSOMYG00000000109","",2.213196,3.529178,4.770557,6.454907,5.217506,3.777188,2.522547,5.22679,8.283819,8.078249,5.763926,5.346154
"ENSOMYG00000000110","",8.191292,16.137402,11.690222,14.118486,14.858672,21.37937,2.117773,2.315489,3.859029,0.902213,1.431478,2.215204
"ENSOMYG00000000114","dynlt2b",11.097396,11.682738,6.818708,12.783028,16.360655,10.859209,11.995178,18.465767,24.026037,12.216008,8.508197,8.30569
"ENSOMYG00000000115","",0.142613,0.401456,0.851058,1.019856,0.693903,1.5081,0,0,0.040008,0,0.444622,0
"ENSOMYG00000000117","lpcat3",0,12.575544,0,1.333837,0.560278,123.371399,0,0,0,0,0,0.147502
"ENSOMYG00000000121","mcl1b",258.131592,215.53772,208.860519,876.664917,960.71405,1665.562256,231.187714,228.510529,320.176331,101.710526,111.111404,101.623688
"ENSOMYG00000000127","",0,0.924036,0.336735,2.551021,1.247166,0.937642,0,0,0,0,0,0
"ENSOMYG00000000133","tpi1b",361.102539,367.296387,450.281494,601.868042,675.731506,1153.838745,401.125488,411.431427,548.123352,386.550323,327.123199,342.595612
"ENSOMYG00000000138","ga45b",3.815073,6.711793,4.332868,89.394974,31.143057,75.30426,8.478716,9.397767,12.927425,1.465457,1.643405,2.679693
"ENSOMYG00000000143","",19.421312,13.205738,6.684426,4.990164,1.286885,2.781147,1.314754,1.536885,1.911475,5.60082,4.167213,4.377049
"ENSOMYG00000000149","",1.188225,45.636932,0.776093,848.955383,90.934883,743.562866,0.366637,0,0,5.062444,2.561998,5.498662
"ENSOMYG00000000150","prr5a",0.363994,2.493786,1.884189,6.595266,0,5.774997,0.267173,0,0.745246,0,0.456951,0
"ENSOMYG00000000153","CYB5R4",1.552335,1.966669,2.234419,1.980873,0.835886,1.339251,1.015961,0.191622,0.515932,0.568813,0.436231,0.230808
"ENSOMYG00000000154","calhm6",1.400627,2.386531,1.57847,1.200406,0,0.818453,0,0,0,0.352237,0.883972,0
"ENSOMYG00000000157","",1.436158,1.709428,1.451346,1.032095,0,1.329848,0.210084,0.55929,0,0.416947,0.270775,0
"ENSOMYG00000000162","",14.298022,12.413842,8.336864,8.093221,5.310734,8.04661,0.502825,2.865819,1.920904,0,0.560734,0.974576
"ENSOMYG00000000165","XK",4.33961,3.324965,5.138075,2.772664,4.529289,9.551604,0,0.421897,0,0.215481,0.80265,0.209205
"ENSOMYG00000000167","",68.668655,33.985073,22.47612,8.10597,5.758209,13.540298,1.325373,1.202985,2.892537,4.649254,1.929851,2.358209
"ENSOMYG00000000169","dedd1",8.94597,11.103632,10.406554,5.170062,8.47387,13.651904,4.624003,5.346324,4.428698,2.738707,5.56333,4.426927
"ENSOMYG00000000178","",0.155826,0,0,1.002502,0.39421,0.195497,0,0,0.242316,0,0,0
"ENSOMYG00000000179","",0.470567,0.754965,0.826064,0.582624,0.204255,0.997518,0.03883,0.260993,0.106383,0,0,0.157092
"ENSOMYG00000000180","",1.371848,1.362317,4.058651,0.817742,0.598094,0.297214,0.402346,0.494721,0.706012,0.975806,0.831818,0.832845
"ENSOMYG00000000182","",3.019418,7.529126,3.200896,7.209485,4.812547,5.588499,1.481329,2.786408,2.675504,0.942494,0.851382,0.792756
"ENSOMYG00000000186","wnk1a",11.143822,18.497318,14.670044,16.876341,13.883989,18.375248,2.299563,2.471792,4.693087,1.93087,1.775725,0.937028
"ENSOMYG00000000190","PDE3A",1.079365,2.108572,1.826032,1.131746,1.369683,2.050476,0.321587,0.453333,0,0.635873,0,0.230476
"ENSOMYG00000000196","dpm2",97.831779,77.413887,96.323769,83.847794,64.983978,65.602135,46.6255,61.3004,87.257675,68.4506,64.331108,71.79306
"ENSOMYG00000000201","",0.823963,2.552195,1.880716,1.887563,1.515381,1.197865,0.068779,0.002571,0.036226,0.018182,0.039991,0.103612
"ENSOMYG00000000207","",2.165696,2.0589,2.673139,1.244013,0.127508,0.472492,0.537864,0.35534,0,1.187702,1.330097,1.823301
"ENSOMYG00000000213","pip5kl1",0.375648,0,0.411054,9.114853,4.701209,10.567357,0.715026,0.322971,0.705527,0,0,0
"ENSOMYG00000000215","cicb",3.860128,8.42892,6.095942,9.537066,6.482916,13.314139,1.708206,1.364323,2.399634,1.073292,1.097926,1.366992
"ENSOMYG00000000216","",18.496387,26.122807,22.810114,18.853456,8.031476,9.614035,26.80031,37.611454,37.248711,37.637772,44.973682,39.303406
"ENSOMYG00000000230","",0,1.165151,0,0.660606,1.218182,0.880303,0.845455,0,0,0,0,0
"ENSOMYG00000000231","",34.710037,31.634758,24.3204,30.269053,26.414963,69.348282,64.048561,63.792984,77.612915,31.359665,29.650093,26.112919
"ENSOMYG00000000232","znf526",7.792504,16.058157,10.122631,7.769098,4.856548,6.039489,0.746984,1.838886,2.221568,1.633687,1.262493,1.14618
"ENSOMYG00000000233","",0.145744,0.56045,0,1.32428,2.114276,0,0.162968,0,0,0,0,0
"ENSOMYG00000000239","",0.571585,0.103224,0.329983,0.196021,0.512981,0.474458,0.07426,0,0.648241,0.100921,0.251256,0
"ENSOMYG00000000240","",2.13795,0.724669,0.79242,0.857801,1.569425,1.930378,0,0,1.793476,0,0,0
"ENSOMYG00000000242","",22.512945,21.322603,23.860043,31.955214,34.029392,36.579426,15.516445,14.912876,19.39958,15.826802,17.070679,12.642057
"ENSOMYG00000000251","arhgef28a",3.43497,4.129199,6.099376,4.355297,1.58441,3.150301,0.358096,0.491387,0.858312,0.346038,0.334841,0.323859
"ENSOMYG00000000253","taf12",0.186759,0.55006,0.318059,1.213685,0.061052,0.081378,0.086923,0.070412,0.094873,0,0,0
