"Gene_ID","Gene_Symbol","SRR27553658","SRR27553659","SRR27553660","SRR27553661","SRR27553662","SRR27553663","SRR27553664","SRR27553665","SRR27553666","SRR25482874","SRR25482875","SRR25482876","SRR25482877","SRR25482878","SRR25482879","SRR25482880","SRR25482881"
"ENSOMYG00000000043","RHOB",34.714043,34.90863,37.917091,27.362099,31.791878,30.428087,32.131981,35.734348,30.275805,20.137056,13.972927,41.351944,33.135361,44.900169,15.282572,21.654821,18.534687
"ENSOMYG00000000046","",1.813333,1.757333,5.208,3.24,4.154667,4.654667,5.274667,8.114666,6.046667,2.58,0.213333,0.672,1.230667,1.132,1.034667,0.969333,0.398667
"ENSOMYG00000000049","rcn2",9.931404,7.233655,7.659164,7.696141,5.132905,7.036442,10.819936,10.413719,3.868167,18.944265,17.235798,29.978563,37.89764,30.428724,15.580922,28.1388,21.538586
"ENSOMYG00000000050","NAIF1",3.601796,6.47006,4.900199,5.344311,2.969062,3.878243,6.382236,6.298403,4.087824,1.268463,0.969062,2.97505,1.006986,0.927146,0,1.341317,0.833333
"ENSOMYG00000000053","",1.613716,1.916377,2.664352,1.950955,3.767578,1.589526,2.949267,2.890191,2.122685,1.023727,0.873553,2.012442,1.96875,3.581597,0.896991,1.413773,0.644676
"ENSOMYG00000000068","",0,0.033693,0.072477,0,0,0,0,0.193172,0,0.254447,0.133872,0.036658,0.024483,0.216532,0.150494,0.064241,0.084456
"ENSOMYG00000000074","mier2",0.727163,1.175439,1.395644,0.748336,2.152148,0.395039,1.569873,1.139141,1.318209,0.630974,1.178463,3.388385,3.831216,3.22807,2.46098,1.295826,1.5366
"ENSOMYG00000000082","RSBN1L",3.827376,4.360765,3.539207,3.080355,3.047936,2.894985,3.419784,3.105015,1.6312,1.676088,1.897479,2.614021,4.098919,3.406484,2.423663,1.123303,1.494597
"ENSOMYG00000000083","",6.56699,5.794898,5.217075,4.285348,4.629133,4.730473,5.336944,7.441277,5.382982,2.007127,1.720924,6.121294,3.931585,6.409635,0.947834,1.951254,2.472492
"ENSOMYG00000000087","PSTPIP1",5.095523,1.368505,3.7498,1.694644,2.185452,2.288569,7.019584,2.742606,2.417266,1.230216,1.335731,2.283773,2.852918,5.609912,2.19984,3.396483,5.080336
"ENSOMYG00000000088","safb",0.085056,0.155476,0.081336,0.143736,0.123969,0.102211,0.065883,0.053871,0.088405,0.197332,0.066402,0.172204,0.188855,0.315395,0.083916,0.113208,0.073199
"ENSOMYG00000000090","",1.279128,0.889199,1.646871,0.995749,0.544174,0.696559,1.15451,0.931048,0.943537,0,0,0.037332,0,0,0,0,0
"ENSOMYG00000000092","",2.858855,2.290811,2.971342,1.307331,1.32611,1.119001,1.598196,1.828256,1.528694,1.10137,0.58005,1.435801,0.977273,0.715268,0.992435,1.136008,0.795062
"ENSOMYG00000000093","",28.293625,25.662193,34.35878,20.890659,23.572706,21.410515,38.063198,27.501398,23.022371,26.944632,23.228746,33.383389,36.54586,33.125839,34.160236,28.912752,25.835011
