"Gene_ID","log2FoldChange","adjusted.P.Value","external_gene_name","description","omykiss_paralog_associated_gene_name","omykiss_paralog_subtype","Regulation"
"ENSOMYG00000000138",1.83155132715704,0.0105271036807143,"ga45b",NA,"GADD45B","Salmoninae","UP"
"ENSOMYG00000000138",1.83155132715704,0.0105271036807143,"ga45b",NA,"gadd45ga","Gnathostomata","UP"
"ENSOMYG00000000138",1.83155132715704,0.0105271036807143,"ga45b",NA,"gadd45gb.1","Gnathostomata","UP"
"ENSOMYG00000000138",1.83155132715704,0.0105271036807143,"ga45b",NA,NA,"Gnathostomata","UP"
"ENSOMYG00000000138",1.83155132715704,0.0105271036807143,"ga45b",NA,"gadd45ab","Gnathostomata","UP"
"ENSOMYG00000000138",1.83155132715704,0.0105271036807143,"ga45b",NA,"gadd45aa","Gnathostomata","UP"
"ENSOMYG00000000143",-1.33670849604422,0.0231291672362553,NA,NA,NA,"Euteleosteomorpha","DOWN"
"ENSOMYG00000000143",-1.33670849604422,0.0231291672362553,NA,NA,NA,"Euteleostomi","DOWN"
"ENSOMYG00000000538",1.39848019680255,0.0348989803019397,"bnip3","BCL2 interacting protein 3 [Source:ZFIN;Acc:ZDB-GENE-030131-8060]","bnip3","Oncorhynchus mykiss","UP"
"ENSOMYG00000000538",1.39848019680255,0.0348989803019397,"bnip3","BCL2 interacting protein 3 [Source:ZFIN;Acc:ZDB-GENE-030131-8060]","bnip3","Osteoglossocephalai","UP"
"ENSOMYG00000000538",1.39848019680255,0.0348989803019397,"bnip3","BCL2 interacting protein 3 [Source:ZFIN;Acc:ZDB-GENE-030131-8060]","bnip3lb","Gnathostomata","UP"
"ENSOMYG00000000538",1.39848019680255,0.0348989803019397,"bnip3","BCL2 interacting protein 3 [Source:ZFIN;Acc:ZDB-GENE-030131-8060]",NA,"Vertebrata","UP"
"ENSOMYG00000000729",-3.08154898923326,0.0214146115369129,NA,NA,"pvrl2l","Bilateria","DOWN"
"ENSOMYG00000000729",-3.08154898923326,0.0214146115369129,NA,NA,"si:ch73-22o12.1","Bilateria","DOWN"
"ENSOMYG00000000729",-3.08154898923326,0.0214146115369129,NA,NA,NA,"Bilateria","DOWN"
"ENSOMYG00000000729",-3.08154898923326,0.0214146115369129,NA,NA,"crtam","Bilateria","DOWN"
"ENSOMYG00000000729",-3.08154898923326,0.0214146115369129,NA,NA,"nectin3b","Bilateria","DOWN"
"ENSOMYG00000000729",-3.08154898923326,0.0214146115369129,NA,NA,"nectin3a","Bilateria","DOWN"
"ENSOMYG00000000729",-3.08154898923326,0.0214146115369129,NA,NA,"cadm1a","Bilateria","DOWN"
"ENSOMYG00000000729",-3.08154898923326,0.0214146115369129,NA,NA,"cadm1b","Bilateria","DOWN"
"ENSOMYG00000000729",-3.08154898923326,0.0214146115369129,NA,NA,"nectin4b","Bilateria","DOWN"
"ENSOMYG00000000729",-3.08154898923326,0.0214146115369129,NA,NA,"cadm2b","Bilateria","DOWN"
"ENSOMYG00000000729",-3.08154898923326,0.0214146115369129,NA,NA,"cadm4","Bilateria","DOWN"
"ENSOMYG00000000729",-3.08154898923326,0.0214146115369129,NA,NA,"cd226","Bilateria","DOWN"
"ENSOMYG00000000729",-3.08154898923326,0.0214146115369129,NA,NA,"cadm3","Bilateria","DOWN"
