Gene Symbol,Description,Category,Uniprot ID,Gifts,GC Id,Relevance score, GeneCards Link
"HIF1A","Hypoxia Inducible Factor 1 Subunit Alpha","Protein Coding","Q16665","61","GC14P061695","91.6815567016602","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HIF1A"
"EGLN1","Egl-9 Family Hypoxia Inducible Factor 1","Protein Coding","Q9GZT9","63","GC01M231363","37.6134643554688","https://www.genecards.org/cgi-bin/carddisp.pl?gene=EGLN1"
"EGLN3","Egl-9 Family Hypoxia Inducible Factor 3","Protein Coding","Q9H6Z9","58","GC14M033924","32.8645286560059","https://www.genecards.org/cgi-bin/carddisp.pl?gene=EGLN3"
"HIF3A","Hypoxia Inducible Factor 3 Subunit Alpha","Protein Coding","Q9Y2N7","52","GC19P046297","31.1876621246338","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HIF3A"
"VEGFA","Vascular Endothelial Growth Factor A","Protein Coding","P15692","61","GC06P043770","30.8214359283447","https://www.genecards.org/cgi-bin/carddisp.pl?gene=VEGFA"
"EGLN2","Egl-9 Family Hypoxia Inducible Factor 2","Protein Coding","Q96KS0","57","GC19P152545","30.547420501709","https://www.genecards.org/cgi-bin/carddisp.pl?gene=EGLN2"
"EPAS1","Endothelial PAS Domain Protein 1","Protein Coding","Q99814","64","GC02P046293","30.3488597869873","https://www.genecards.org/cgi-bin/carddisp.pl?gene=EPAS1"
"VHL","Von Hippel-Lindau Tumor Suppressor","Protein Coding","P40337","60","GC03P027018","28.1670150756836","https://www.genecards.org/cgi-bin/carddisp.pl?gene=VHL"
"HIF1AN","Hypoxia Inducible Factor 1 Subunit Alpha Inhibitor","Protein Coding","Q9NWT6","55","GC10P100529","27.8421688079834","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HIF1AN"
"ARNT","Aryl Hydrocarbon Receptor Nuclear Translocator","Protein Coding","P27540","58","GC01M150809","25.3182907104492","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ARNT"
"SETD2","SET Domain Containing 2, Histone Lysine Methyltransferase","Protein Coding","Q9BYW2","60","GC03M047033","23.6490802764893","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SETD2"
"HYOU1","Hypoxia Up-Regulated 1","Protein Coding","Q9Y4L1","58","GC11M140647","22.5145244598389","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HYOU1"
"HILPDA","Hypoxia Inducible Lipid Droplet Associated","Protein Coding","Q9Y5L2","45","GC07P165492","22.3365821838379","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HILPDA"
"EPO","Erythropoietin","Protein Coding","P01588","55","GC07P100720","19.1502132415771","https://www.genecards.org/cgi-bin/carddisp.pl?gene=EPO"
"HIGD1A","HIG1 Hypoxia Inducible Domain Family Member 1A","Protein Coding","Q9Y241","48","GC03M042782","18.615198135376","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HIGD1A"
"CA9","Carbonic Anhydrase 9","Protein Coding","Q16790","59","GC09P035673","18.2415161132813","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CA9"
"HIGD2A","HIG1 Hypoxia Inducible Domain Family Member 2A","Protein Coding","Q9BW72","46","GC05P176388","15.4995317459106","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HIGD2A"
"HIGD1B","HIG1 Hypoxia Inducible Domain Family Member 1B","Protein Coding","Q9P298","38","GC17P154905","14.8458242416382","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HIGD1B"
"TP53","Tumor Protein P53","Protein Coding","P04637","66","GC17M007661","14.6423683166504","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TP53"
"EP300","E1A Binding Protein P300","Protein Coding","Q09472","65","GC22P092249","14.3503065109253","https://www.genecards.org/cgi-bin/carddisp.pl?gene=EP300"
"P4HTM","Prolyl 4-Hydroxylase, Transmembrane","Protein Coding","Q9NXG6","51","GC03P064982","13.9389047622681","https://www.genecards.org/cgi-bin/carddisp.pl?gene=P4HTM"
"SLC2A1","Solute Carrier Family 2 Member 1","Protein Coding","P11166","66","GC01M042925","13.1660213470459","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SLC2A1"
"HIGD1C","HIG1 Hypoxia Inducible Domain Family Member 1C","Protein Coding","A8MV81","38","GC12P075118","12.3050260543823","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HIGD1C"
"BNIP3","BCL2 Interacting Protein 3","Protein Coding","Q12983","54","GC10M131966","12.1429147720337","https://www.genecards.org/cgi-bin/carddisp.pl?gene=BNIP3"
"HIGD2B","HIG1 Hypoxia Inducible Domain Family Member 2B","Protein Coding","Q4VC39","24","GC15M072675","12.1214189529419","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HIGD2B"
"MTOR","Mechanistic Target Of Rapamycin Kinase","Protein Coding","P42345","68","GC01M011106","11.8151531219482","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MTOR"
"MIR210","MicroRNA 210","RNA Gene","","30","GC11M015053","11.7373218536377","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR210"
"HIGD1AP1","HIG1 Hypoxia Inducible Domain Family Member 1A Pseudogene 1","Pseudogene","","8","GC12P053141","11.4002275466919","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HIGD1AP1"
"MAPK1","Mitogen-Activated Protein Kinase 1","Protein Coding","P28482","65","GC22M021759","10.6557216644287","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MAPK1"
"AKT1","AKT Serine/Threonine Kinase 1","Protein Coding","P31749","66","GC14M104769","10.4839515686035","https://www.genecards.org/cgi-bin/carddisp.pl?gene=AKT1"
"IL6","Interleukin 6","Protein Coding","P05231","64","GC07P022725","10.4619789123535","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IL6"
"MIR21","MicroRNA 21","RNA Gene","","33","GC17P059841","10.3395557403564","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR21"
"HIGD1AP18","HIG1 Hypoxia Inducible Domain Family Member 1A Pseudogene 18","Pseudogene","","10","GC08M077013","10.3217353820801","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HIGD1AP18"
