Gene Symbol,Description,Category,Uniprot ID,Gifts,GC Id,Relevance score, GeneCards Link
"HSF1","Heat Shock Transcription Factor 1","Protein Coding","Q00613","60","GC08P144291","10.697096824646","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HSF1"
"HSPA1A","Heat Shock Protein Family A (Hsp70) Member 1A","Protein Coding","P0DMV8","60","GC06P181910","10.4305782318115","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HSPA1A"
"HSPA4","Heat Shock Protein Family A (Hsp70) Member 4","Protein Coding","P34932","55","GC05P133132","7.85790205001831","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HSPA4"
"HSP90AA1","Heat Shock Protein 90 Alpha Family Class A Member 1","Protein Coding","P07900","64","GC14M102080","7.1354455947876","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HSP90AA1"
"SOD2-OT1","SOD2 Overlapping Transcript 1","RNA Gene","","20","GC06M159772","7.13238573074341","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SOD2-OT1"
"BAG3","BAG Cochaperone 3","Protein Coding","O95817","55","GC10P119651","6.82714796066284","https://www.genecards.org/cgi-bin/carddisp.pl?gene=BAG3"
"HSPA8","Heat Shock Protein Family A (Hsp70) Member 8","Protein Coding","P11142","62","GC11M123057","6.09639263153076","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HSPA8"
"HSPA1B","Heat Shock Protein Family A (Hsp70) Member 1B","Protein Coding","P0DMV9","54","GC06P181909","5.8420467376709","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HSPA1B"
"HSP90AB1","Heat Shock Protein 90 Alpha Family Class B Member 1","Protein Coding","P08238","62","GC06P044246","5.59661245346069","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HSP90AB1"
"HSPA14","Heat Shock Protein Family A (Hsp70) Member 14","Protein Coding","Q0VDF9","48","GC10P014860","4.83589029312134","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HSPA14"
"MAPK1","Mitogen-Activated Protein Kinase 1","Protein Coding","P28482","65","GC22M021759","4.70492076873779","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MAPK1"
"HSPA5","Heat Shock Protein Family A (Hsp70) Member 5","Protein Coding","P11021","61","GC09M125234","4.69556474685669","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HSPA5"
"SIRT1","Sirtuin 1","Protein Coding","Q96EB6","62","GC10P067884","4.63937664031982","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SIRT1"
"HSPA6","Heat Shock Protein Family A (Hsp70) Member 6","Protein Coding","P17066","52","GC01P161524","4.3487720489502","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HSPA6"
"EEF1A1","Eukaryotic Translation Elongation Factor 1 Alpha 1","Protein Coding","P68104","57","GC06M107761","4.26660680770874","https://www.genecards.org/cgi-bin/carddisp.pl?gene=EEF1A1"
"MAPKAPK2","MAPK Activated Protein Kinase 2","Protein Coding","P49137","60","GC01P206684","4.23586177825928","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MAPKAPK2"
"HIKESHI","Heat Shock Protein Nuclear Import Factor Hikeshi","Protein Coding","Q53FT3","48","GC11P108552","4.20283079147339","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HIKESHI"
"VCP","Valosin Containing Protein","Protein Coding","P55072","62","GC09M035732","4.15461587905884","https://www.genecards.org/cgi-bin/carddisp.pl?gene=VCP"
"MTOR","Mechanistic Target Of Rapamycin Kinase","Protein Coding","P42345","68","GC01M011106","4.1271800994873","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MTOR"
"ARL6IP5","ARF Like GTPase 6 Interacting Protein 5","Protein Coding","O75915","41","GC03P069084","4.03580760955811","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ARL6IP5"
"HSPB8","Heat Shock Protein Family B (Small) Member 8","Protein Coding","Q9UJY1","57","GC12P119173","3.95887732505798","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HSPB8"
"TPR","Translocated Promoter Region, Nuclear Basket Protein","Protein Coding","P12270","54","GC01M186932","3.94170999526978","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TPR"
"HSPB1","Heat Shock Protein Family B (Small) Member 1","Protein Coding","P04792","65","GC07P076302","3.84599709510803","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HSPB1"
"HSPA4L","Heat Shock Protein Family A (Hsp70) Member 4 Like","Protein Coding","O95757","45","GC04P127781","3.5993390083313","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HSPA4L"
"GSK3A","Glycogen Synthase Kinase 3 Alpha","Protein Coding","P49840","62","GC19M108797","3.57460403442383","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GSK3A"
"CRYAB","Crystallin Alpha B","Protein Coding","P02511","59","GC11M111908","3.44882607460022","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CRYAB"
"CERNA3","Competing Endogenous LncRNA 3 For MiR-645","RNA Gene","","21","GC08P056444","3.44471335411072","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CERNA3"
"HSPH1","Heat Shock Protein Family H (Hsp110) Member 1","Protein Coding","Q92598","54","GC13M031134","3.4410572052002","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HSPH1"
"TP53","Tumor Protein P53","Protein Coding","P04637","66","GC17M007661","3.40428280830383","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TP53"
"BDNF-AS","BDNF Antisense RNA","RNA Gene","","31","GC11P027466","3.34785914421082","https://www.genecards.org/cgi-bin/carddisp.pl?gene=BDNF-AS"
"RYR1","Ryanodine Receptor 1","Protein Coding","P21817","62","GC19P152460","3.32576847076416","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RYR1"
"HSPA9","Heat Shock Protein Family A (Hsp70) Member 9","Protein Coding","P38646","61","GC05M138554","3.30288481712341","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HSPA9"
"FKBP4","FKBP Prolyl Isomerase 4","Protein Coding","Q02790","57","GC12P073950","3.30288481712341","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FKBP4"
"HSPD1","Heat Shock Protein Family D (Hsp60) Member 1","Protein Coding","P10809","61","GC02M197486","3.28207206726074","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HSPD1"
"CREBBP","CREB Binding Protein","Protein Coding","Q92793","67","GC16M049995","3.27275443077087","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CREBBP"
"HSPA2","Heat Shock Protein Family A (Hsp70) Member 2","Protein Coding","P54652","55","GC14P064535","3.22723436355591","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HSPA2"
"ANXA2","Annexin A2","Protein Coding","P07355","60","GC15M060347","3.1946132183075","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ANXA2"
"DNAJB1","DnaJ Heat Shock Protein Family (Hsp40) Member B1","Protein Coding","P25685","57","GC19M108265","3.18213772773743","https://www.genecards.org/cgi-bin/carddisp.pl?gene=DNAJB1"
"HDAC6","Histone Deacetylase 6","Protein Coding","Q9UBN7","66","GC0XP048801","3.1286449432373","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HDAC6"
"HSPA1L","Heat Shock Protein Family A (Hsp70) Member 1 Like","Protein Coding","P34931","57","GC06M031809","3.1286449432373","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HSPA1L"
"BAG1","BAG Cochaperone 1","Protein Coding","Q99933","55","GC09M033245","3.1286449432373","https://www.genecards.org/cgi-bin/carddisp.pl?gene=BAG1"
"GSK3B","Glycogen Synthase Kinase 3 Beta","Protein Coding","P49841","64","GC03M119821","3.05893158912659","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GSK3B"
"MAPK3","Mitogen-Activated Protein Kinase 3","Protein Coding","P27361","62","GC16M051076","3.05893158912659","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MAPK3"
"YWHAE","Tyrosine 3-Monooxygenase/Tryptophan 5-Monooxygenase Activation Protein Epsilon","Protein Coding","P62258","62","GC17M095893","3.05893158912659","https://www.genecards.org/cgi-bin/carddisp.pl?gene=YWHAE"
"RPA1","Replication Protein A1","Protein Coding","P27694","60","GC17P001829","3.05893158912659","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RPA1"
"PTGES3","Prostaglandin E Synthase 3","Protein Coding","Q15185","58","GC12M060421","3.05893158912659","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PTGES3"
"NUP107","Nucleoporin 107","Protein Coding","P57740","57","GC12P068686","3.05893158912659","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NUP107"
"NUP155","Nucleoporin 155","Protein Coding","O75694","57","GC05M037288","3.05893158912659","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NUP155"
"RPA2","Replication Protein A2","Protein Coding","P15927","56","GC01M034850","3.05893158912659","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RPA2"
"SEC13","SEC13 Homolog, Nuclear Pore And COPII Coat Complex Component","Protein Coding","P55735","54","GC03M010293","3.05893158912659","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SEC13"
"DNAJB6","DnaJ Heat Shock Protein Family (Hsp40) Member B6","Protein Coding","O75190","53","GC07P157335","3.05893158912659","https://www.genecards.org/cgi-bin/carddisp.pl?gene=DNAJB6"
"NUP88","Nucleoporin 88","Protein Coding","Q99567","52","GC17M096124","3.05893158912659","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NUP88"
"NUP93","Nucleoporin 93","Protein Coding","Q8N1F7","52","GC16P121606","3.05893158912659","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NUP93"
"DNAJC7","DnaJ Heat Shock Protein Family (Hsp40) Member C7","Protein Coding","Q99615","51","GC17M097192","3.05893158912659","https://www.genecards.org/cgi-bin/carddisp.pl?gene=DNAJC7"
"NUP37","Nucleoporin 37","Protein Coding","Q8NFH4","47","GC12M102073","3.05893158912659","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NUP37"
"NUP35","Nucleoporin 35","Protein Coding","Q8NFH5","46","GC02P183117","3.05893158912659","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NUP35"
"SEH1L","SEH1 Like Nucleoporin","Protein Coding","Q96EE3","46","GC18P012947","3.05893158912659","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SEH1L"
"NDC1","NDC1 Transmembrane Nucleoporin","Protein Coding","Q9BTX1","44","GC01M053765","3.05893158912659","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NDC1"
"HSPA12B","Heat Shock Protein Family A (Hsp70) Member 12B","Protein Coding","Q96MM6","40","GC20P010983","3.05893158912659","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HSPA12B"
"SNORD15A","Small Nucleolar RNA, C/D Box 15A","RNA Gene","","25","GC11P075400","2.99370574951172","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SNORD15A"
"ATR","ATR Serine/Threonine Kinase","Protein Coding","Q13535","67","GC03M142449","2.89062881469727","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ATR"
"ATM","ATM Serine/Threonine Kinase","Protein Coding","Q13315","66","GC11P108222","2.89062881469727","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ATM"
"CAMK2A","Calcium/Calmodulin Dependent Protein Kinase II Alpha","Protein Coding","Q9UQM7","65","GC05M150219","2.89062881469727","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CAMK2A"
